    2: (51.4286,6.03448%,90.9804%) #240FE8 hsv(51.4286,6.03448%,90.9804%)
    1: (51.4286,6.08696%,90.1961%) #2410E6 hsv(51.4286,6.08696%,90.1961%)
    2: (51.4286,6.11354%,89.8039%) #2410E5 hsv(51.4286,6.11354%,89.8039%)
    1: (51.4286,6.14035%,89.4118%) #2410E4 hsv(51.4286,6.14035%,89.4118%)
    2: (51.4286,6.19469%,88.6275%) #2410E2 hsv(51.4286,6.19469%,88.6275%)
    1: (51.4286,6.27803%,87.451%) #2410DF hsv(51.4286,6.27803%,87.451%)
    1: (51.4286,6.30631%,87.0588%) #2410DE hsv(51.4286,6.30631%,87.0588%)
    2: (52,5.88235%,100%) #250FFF hsv(52,5.88235%,100%)
    2: (52,5.92885%,99.2157%) #250FFD hsv(52,5.92885%,99.2157%)
    1: (52,5.95238%,98.8235%) #250FFC hsv(52,5.95238%,98.8235%)
    2: (52,5.9761%,98.4314%) #250FFB hsv(52,5.9761%,98.4314%)
    4: (52,6.0241%,97.6471%) #250FF9 hsv(52,6.0241%,97.6471%)
    2: (52,6.07287%,96.8627%) #250FF7 hsv(52,6.07287%,96.8627%)
    2: (52,6.09756%,96.4706%) #2510F6 hsv(52,6.09756%,96.4706%)
    2: (52,6.12245%,96.0784%) #2510F5 hsv(52,6.12245%,96.0784%)
    2: (52,6.14754%,95.6863%) #2510F4 hsv(52,6.14754%,95.6863%)
    1: (52,6.17284%,95.2941%) #2510F3 hsv(52,6.17284%,95.2941%)
    1: (52,6.19835%,94.902%) #2510F2 hsv(52,6.19835%,94.902%)
    1: (52,6.25%,94.1176%) #2510F0 hsv(52,6.25%,94.1176%)
    1: (52,6.32911%,92.9412%) #2510ED hsv(52,6.32911%,92.9412%)
    1: (52,6.35593%,92.549%) #2510EC hsv(52,6.35593%,92.549%)
    1: (52,6.43777%,91.3725%) #2510E9 hsv(52,6.43777%,91.3725%)
    1: (52,6.57895%,89.4118%) #2511E4 hsv(52,6.57895%,89.4118%)
    1: (60,2.89855%,27.0588%) #2B0745 hsv(60,2.89855%,27.0588%)
    1: (60,3.0303%,25.8824%) #2B0842 hsv(60,3.0303%,25.8824%)
    1: (60,4.16667%,94.1176%) #2B0BF0 hsv(60,4.16667%,94.1176%)
    1: (60,4.21941%,92.9412%) #2B0BED hsv(60,4.21941%,92.9412%)
    4: (60,4.23729%,92.549%) #2B0BEC hsv(60,4.23729%,92.549%)
    2: (60,4.25532%,92.1569%) #2B0BEB hsv(60,4.25532%,92.1569%)
    1: (60,4.2735%,91.7647%) #2B0BEA hsv(60,4.2735%,91.7647%)
    2: (60,4.31373%,100%) #2B0BFF hsv(60,4.31373%,100%)
    1: (60,4.34783%,90.1961%) #2B0BE6 hsv(60,4.34783%,90.1961%)
    1: (60,4.42478%,88.6275%) #2B0BE2 hsv(60,4.42478%,88.6275%)
    2: (60,4.5045%,87.0588%) #2B0BDE hsv(60,4.5045%,87.0588%)
    3: (60,4.52489%,86.6667%) #2B0CDD hsv(60,4.52489%,86.6667%)
    1: (60,4.54545%,86.2745%) #2B0CDC hsv(60,4.54545%,86.2745%)
    1: (60,4.56621%,85.8824%) #2B0CDB hsv(60,4.56621%,85.8824%)
    1: (60,4.58716%,85.4902%) #2B0CDA hsv(60,4.58716%,85.4902%)
    1: (60,4.6083%,85.098%) #2B0CD9 hsv(60,4.6083%,85.098%)
    5: (60,4.70588%,100%) #2B0CFF hsv(60,4.70588%,100%)
    1: (60,4.71698%,83.1373%) #2B0CD4 hsv(60,4.71698%,83.1373%)
    2: (60,4.74308%,99.2157%) #2B0CFD hsv(60,4.74308%,99.2157%)
    1: (60,4.7619%,98.8235%) #2B0CFC hsv(60,4.7619%,98.8235%)
    1: (60,4.87805%,96.4706%) #2B0CF6 hsv(60,4.87805%,96.4706%)
    1: (60,4.89796%,96.0784%) #2B0CF5 hsv(60,4.89796%,96.0784%)
    3: (60,4.93827%,95.2941%) #2B0DF3 hsv(60,4.93827%,95.2941%)
    1: (60,4.95868%,94.902%) #2B0DF2 hsv(60,4.95868%,94.902%)
    4: (60,4.97925%,94.5098%) #2B0DF1 hsv(60,4.97925%,94.5098%)
    4: (60,5%,94.1176%) #2B0DF0 hsv(60,5%,94.1176%)
    1: (60,5.02092%,93.7255%) #2B0DEF hsv(60,5.02092%,93.7255%)
    2: (60,5.04202%,93.3333%) #2B0DEE hsv(60,5.04202%,93.3333%)
    4: (60,5.06329%,92.9412%) #2B0DED hsv(60,5.06329%,92.9412%)
    7: (60,5.08475%,92.549%) #2B0DEC hsv(60,5.08475%,92.549%)
    4: (60,5.17241%,90.9804%) #2B0DE8 hsv(60,5.17241%,90.9804%)
    2: (60,5.19481%,90.5882%) #2B0DE7 hsv(60,5.19481%,90.5882%)
    5: (60,5.21739%,90.1961%) #2B0DE6 hsv(60,5.21739%,90.1961%)
    3: (60,5.24017%,89.8039%) #2B0DE5 hsv(60,5.24017%,89.8039%)
    2: (60,5.26316%,89.4118%) #2B0DE4 hsv(60,5.26316%,89.4118%)
    3: (60,5.28634%,89.0196%) #2B0DE3 hsv(60,5.28634%,89.0196%)
    7: (60,5.30973%,88.6275%) #2B0EE2 hsv(60,5.30973%,88.6275%)
    1: (60,5.33333%,88.2353%) #2B0EE1 hsv(60,5.33333%,88.2353%)
    2: (60,5.35714%,87.8431%) #2B0EE0 hsv(60,5.35714%,87.8431%)
    3: (60,5.38117%,87.451%) #2B0EDF hsv(60,5.38117%,87.451%)
    3: (60,5.42986%,86.6667%) #2B0EDD hsv(60,5.42986%,86.6667%)
